percentile,rango18_22,rango23_27,rango28_32,rango33_37,rango38_42
95.00,33.00,33.00,32.00,31.00,31.00
90.00,32.00,31.00,30.00,30.00,29.00
85.00,30.00,30.00,29.00,29.00,28.00
80.00,30.00,29.00,28.00,28.00,27.00
70.00,28.00,28.00,27.00,27.00,26.00
60.00,27.00,26.00,26.00,25.00,25.00
50.00,26.00,25.00,25.00,24.00,24.00
40.00,25.00,24.00,24.00,23.00,23.00
30.00,24.00,23.00,22.00,22.00,21.00
20.00,22.00,22.00,21.00,21.00,20.00
15.00,21.00,21.00,20.00,20.00,19.00
10.00,20.00,20.00,19.00,19.00,18.00
5.00,19.00,18.00,18.00,17.00,16.00
