Mov Totales Min,Mov Totales Max,T Latencia Min,T Latencia Max,T Ejecucion Min,T Ejecucion Max,T Resolucion Min,T Resolucion Max,Escalar,Percentil Min,Percentil Max,Escalar Invertido,Percentil Invertido Min,Percentil Invertido Max
83,1000,209,1000,498,1000,1000,556,2,0,1,18,99,100
78,82,185,208,463,497,507,555,3,1,1,17,99,99
66,77,166,184,444,462,480,506,4,2,2,16,98,98
58,65,144,165,327,443,429,479,5,3,5,15,95,97
50,57,112,143,297,326,372,428,6,6,10,14,90,94
45,49,95,111,248,296,325,371,7,11,18,13,82,89
38,44,81,94,229,247,294,324,8,19,28,12,72,81
30,37,59,80,196,228,269,293,9,29,40,11,60,71
23,29,39,58,167,195,224,268,10,41,59,10,41,59
20,22,33,38,147,166,198,223,11,60,71,9,29,40
14,19,26,32,129,146,180,197,12,72,81,8,19,28
10,13,22,25,108,128,157,179,13,82,89,7,11,18
8,9,19,21,91,107,134,156,14,90,94,6,6,10
5,7,17,18,83,90,123,133,15,95,97,5,3,5
3,4,14,16,57,82,119,122,16,98,98,4,2,2
1,2,13,13,23,56,104,118,17,99,99,3,1,1
0,0,0,12,0,22,0,103,18,99,100,2,0,1
