Denominacion imagenes,Denominacion imagenes T,DenomImgPercentil,DenomImgEscalar,DenomImgTPercentil,DenomImgTEscalar
0,0,1,1,1,1
1,1,1,1,1,1
2,2,1,1,1,1
3,3,1,1,1,1
4,4,1,2,1,1
5,5,1,2,1,1
6,6,1,3,1,1
7,7,1,4,1,1
8,8,1,4,1,2
9,9,1,4,1,2
10,10,1,5,1,2
11,11,1,5,1,2
12,12,5,5,1,2
13,13,10,6,1,2
14,14,95,15,1,2
1000,15,1000,1000,1,2
1000,16,1000,1000,1,3
1000,17,1000,1000,1,3
1000,18,1000,1000,1,3
1000,19,1000,1000,1,3
1000,20,1000,1000,1,3
1000,21,1000,1000,1,3
1000,22,1000,1000,1,3
1000,23,1000,1000,1,3
1000,24,1000,1000,1,4
1000,25,1000,1000,1,4
1000,26,1000,1000,1,4
1000,27,1000,1000,1,4
1000,28,1000,1000,1,4
1000,29,1000,1000,1,4
1000,30,1000,1000,1,4
1000,31,1000,1000,1,4
1000,32,1000,1000,1,4
1000,33,1000,1000,1,4
1000,34,1000,1000,5,5
1000,35,1000,1000,5,5
1000,36,1000,1000,5,5
1000,37,1000,1000,5,5
1000,38,1000,1000,5,5
1000,39,1000,1000,10,6
1000,40,1000,1000,10,6
1000,41,1000,1000,20,7
1000,42,1000,1000,95,15
