RangoPercentil,SOM,OBS,INT,DEP,ANS,HOS,FOB,PAR,PSI,GSI,PST,PSDI,T
99,4,3.96,4,4,4,4,3.95,4,3.89,3.86,90,3.92,75
97,3.82,3.8,3.85,3.85,3.8,3.83,3.68,3.81,3.3,3.59,87.9,3.73,70
95,3.59,3.7,3.37,3.77,3.7,3.68,3.42,3.67,3.03,3.22,84.1,3.65,67
90,3.19,3.33,3.03,3.47,3.43,3.05,3.14,3.33,2.5,2.91,79.3,3.38,63
85,2.95,2.99,2.61,3.16,2.94,2.5,2.71,2.74,2.14,2.55,77,3.28,60
80,2.8,2.8,2.22,2.97,2.7,2.33,2.09,2.17,1.9,2.35,72.6,3.19,58
75,2.58,2.58,2.11,2.69,2.5,2,1.71,---,1.6,2.12,70,3.09,57
70,2.42,2.4,2,2.61,2.3,1.67,1.41,1.83,1.5,2,68,3.01,55
65,2.25,2.3,1.89,2.54,2.1,1.51,1.15,1.67,1.2,1.91,66,2.86,54
60,2.1,2.1,1.58,2.38,1.9,1.33,1.14,1.5,1.1,1.76,65,2.76,53
55,2,1.9,1.44,2.31,1.7,1.17,1,1.33,0.9,1.71,61,2.63,51
50,1.83,1.7,1.33,2.23,1.6,1,0.86,---,0.9,1.6,58,2.49,50
45,1.75,1.6,1.22,2.1,1.5,0.94,0.71,1.17,0.7,1.5,56,2.4,49
40,1.58,1.5,1.2,1.92,1.4,---,0.69,1,0.6,1.4,51.8,2.31,47
35,1.50-,1.4,1.11,1.69,1.3,0.67,0.57,0.99,0.59,1.28,47,2.19,46
30,1.33,1.21,1,1.54,1.2,0.52,0.43,---,0.41,1.13,46,2.11,45
25,1.25,1.12,0.89,1.38,1,0.5,0.29,0.67,0.32,1.04,43.2,2.02,43
20,1.03,0.94,0.71,1.11,0.8,0.33,---,0.5,0.3,0.97,38,1.88,42
15,0.67,0.66,---,0.92,0.66,0.17,0.14,0.33,0.2,0.78,34,1.81,40
10,0.5,0.5,0.44,0.69,0.4,---,---,0.17,0.1,0.55,27.4,1.71,37
5,0.25,0.3,0.21,0.54,0.3,0,0,0,0,0.4,20.8,1.54,34
