RangoPercentil,SOM,OBS,INT,DEP,ANS,HOS,FOB,PAR,PSI,GSI,PST,PSDI,T
99,3.5,3.5,3.89,3,4,3.33,3.43,3.17,2.8,3.26,86,3.62,75
97,3.42,3.1,3.35,2.92,2.64,2.68,2.87,3.01,2.12,2.66,81,3.57,70
95,3.25,2.72,2.48,2.62,2.5,2.34,2.57,2.34,1.91,2.19,73.2,3.05,67
90,2.59,2.2,2.11,2.31,1.91,2.33,1.3,2,1.11,1.78,69,2.8,63
85,2.08,2.02,1.79,2.09,1.6,1.67,1,1.69,1,1.56,63.2,2.59,60
80,1.77,1.7,1.56,1.92,1.5,1.5,0.86,1.5,0.92,1.42,59.4,2.41,58
75,1.52,1.6,1.44,1.85,1.3,1.17,0.71,1.33,0.73,1.34,54.5,2.33,57
70,1.42,1.43,1.37,1.62,1.23,1,---,---,0.7,1.11,51,2.15,55
65,1.33,1.3,1.22,1.38,1.1,0.89,---,1.17,0.5,1.03,49.1,2.02,54
60,1.25,1.2,1.04,1.23,1,0.83,0.43,---,---,0.97,45.4,1.97,53
55,1.12,1.1,1,1.15,0.9,0.67,---,0.83,0.4,0.89,44,1.86,51
50,1,0.9,0.89,1.04,0.7,---,---,---,---,0.82,41,1.78,50
45,0.88,---,0.78,0.92,---,0.5,0.29,0.67,0.3,0.79,40,1.74,49
40,0.8,0.8,0.67,0.85,0.6,---,0.14,0.5,---,0.76,38,1.68,47
35,0.67,0.7,0.56,0.69,---,---,---,0.44,0.2,0.67,34.7,1.61,46
30,0.56,0.6,0.44,0.62,0.5,0.33,---,0.33,---,0.54,32.7,1.53,45
25,0.42,0.5,0.33,0.52,0.4,---,---,0.17,0.1,0.48,27.8,1.4,43
20,0.33,0.38,0.22,0.31,0.28,0.17,---,---,0.1,0.31,21.6,1.35,42
15,0.25,0.3,---,0.23,0.2,0.14,---,0.17,---,0.25,14.7,1.24,40
10,0.17,0.1,0.11,---,0.1,---,---,---,---,0.13,10,1.11,37
5,0.08,0,0,0.08,0,0,0,0,0,0.11,8,1,34
