RangoPercentil,SOM,OBS,INT,DEP,ANS,HOS,FOB,PAR,PSI,GSI,PST,PSDI,T
99,2.08,2.4,1.61,1.92,2.05,2.16,1.29,2,1.1,1.44,61.9,2.96,75
97,1.53,1.5,1.44,1.72,1.34,---,0.86,1.5,1,1.16,54.4,2.65,70
95,1.33,1.4,1.22,1.54,1.2,1.5,0.71,1.33,0.83,1.08,48,2.49,67
90,0.92,1.1,0.89,1.21,0.9,1.17,0.57,1.17,0.7,0.8,42.7,2.28,63
85,0.67,1,---,1.08,0.8,1,---,1,0.51,0.73,39,2.22,60
80,0.62,0.9,0.78,0.92,0.7,0.83,0.43,0.83,0.4,0.63,33,2.15,58
75,0.58,0.8,0.67,0.85,0.6,0.67,---,---,0.3,0.59,31,2.03,57
70,0.5,---,---,0.77,---,0.52,0.29,0.67,---,0.54,28,2,55
65,0.42,0.7,0.56,0.65,0.5,0.5,---,---,---,0.48,26,1.85,54
60,0.33,---,---,0.62,---,---,---,---,0.2,0.44,24,1.73,53
55,---,0.6,0.44,0.54,0.4,0.33,---,0.5,---,0.41,22.2,1.65,51
50,---,0.5,---,---,---,0.25,0.14,---,---,0.38,20,1.56,50
45,0.25,---,0.33,0.46,0.3,---,---,---,0.1,0.34,19,1.52,49
40,---,0.4,---,0.4,---,---,---,0.33,---,0.3,18,1.48,47
35,0.17,---,0.22,0.38,---,0.17,---,---,---,0.27,16,1.44,46
30,---,0.3,---,0.31,0.2,---,---,0.17,---,0.24,14,1.35,45
25,---,---,---,0.23,---,---,---,---,---,0.22,13,1.3,43
20,0.08,---,0.11,0.2,---,---,---,---,---,0.19,11.6,1.23,42
15,---,0.2,---,---,0.1,---,---,---,---,0.17,10,1.18,40
10,---,0.1,---,0.15,---,---,---,---,---,0.13,8,1.13,37
5,0,0,0,0,0,0,0,0,0,0.08,5,1.03,34
