TRmin,TRmax,TAmin,TAmax,Omin,Omax,Cmin,Cmax,TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
636,658,283,299,0,0,,,629,658,283,299,0,6,19,99
635,635,276,282,1,1,,,620,628,276,282,,,16,98
626,634,271,275,,,,,617,619,270,275,7,7,16,97
623,625,270,270,2,2,,,605,616,267,269,,,15,96
600,622,250,269,,,,,582,604,250,266,,,15,95
584,599,242,249,3,3,,,569,581,242,249,8,8,14,90
567,583,228,241,4,4,,,545,568,228,241,,,13,85
547,566,220,227,5,5,,,523,544,219,227,9,9,13,80
532,546,214,219,6,6,,,513,522,213,218,,,12,75
520,531,205,213,7,7,0,0,500,512,204,212,10,10,12,70
507,519,195,204,8,8,,,487,499,195,203,11,11,11,65
493,506,186,194,9,9,,,470,486,185,194,12,12,11,60
480,492,182,185,10,11,,,454,469,181,184,13,13,10,55
466,479,180,181,12,12,,,447,453,178,180,,,10,50
461,465,173,179,13,15,,,436,446,171,177,14,14,10,45
449,460,167,172,16,16,,,422,435,166,170,,,9,40
441,448,162,166,17,17,,,411,421,160,165,15,15,9,35
416,440,157,161,18,19,1,1,396,410,156,159,16,16,8,30
397,415,153,156,20,22,,,380,395,152,155,,,8,25
378,396,148,152,23,30,,,364,379,144,151,17,17,7,20
360,377,141,147,31,34,2,2,343,363,135,143,18,19,7,15
342,359,129,140,35,43,3,3,316,342,121,134,20,22,6,10
314,341,114,128,44,50,4,4,305,315,106,120,23,23,5,5
310,313,110,113,51,52,5,13,301,304,105,105,24,24,5,4
306,309,107,109,53,57,14,14,272,300,93,104,25,29,4,3
260,305,94,106,58,66,15,15,241,271,86,92,30,30,4,2
0,259,0,93,67,100,16,100,0,240,0,85,31,47,3,1
