TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
595,658,265,299,34,37,19,99
593,594,255,264,33,33,16,98
577,592,254,254,28,32,16,97
575,576,250,253,26,27,15,96
561,574,238,249,24,25,15,95
538,560,228,237,22,23,14,90
525,537,215,227,20,21,13,85
506,524,206,214,19,19,13,80
498,505,203,205,,,12,75
494,497,198,202,17,18,12,70
480,493,191,197,16,16,11,65
471,479,187,190,,,11,60
458,470,184,186,15,15,10,55
448,457,176,183,14,14,10,50
433,447,174,175,,,10,45
414,432,167,173,13,13,9,40
404,413,159,166,,,9,35
390,403,153,158,12,12,8,30
377,389,145,152,11,11,8,25
359,376,140,144,10,10,7,20
335,358,133,139,,,7,15
309,334,115,132,9,9,6,10
284,308,105,114,8,8,5,5
282,283,104,104,,,5,4
265,281,88,103,,,4,3
264,264,80,87,7,7,4,2
0,263,0,79,0,6,3,1
