TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
629,658,283,299,31,47,19,99
620,628,276,282,30,30,16,98
617,619,270,275,25,29,16,97
605,616,267,269,24,24,15,96
582,604,250,266,23,23,15,95
569,581,242,249,20,22,14,90
545,568,228,241,18,19,13,85
523,544,219,227,17,17,13,80
513,522,213,218,,,12,75
500,512,204,212,16,16,12,70
487,499,195,203,15,15,11,65
470,486,185,194,,,11,60
454,469,181,184,14,14,10,55
447,453,178,180,,,10,50
436,446,171,177,13,13,10,45
422,435,166,170,12,12,9,40
411,421,160,165,11,11,9,35
396,410,156,159,10,10,8,30
380,395,152,155,,,8,25
364,379,144,151,9,9,7,20
343,363,135,143,,,7,15
316,342,121,134,8,8,6,10
305,315,106,120,,,5,5
301,304,105,105,,,5,4
272,300,93,104,7,7,4,3
241,271,86,92,,,4,2
0,240,0,85,0,6,3,1
