directa,SOM,DEP,ANS,IGS
0,37,39,37,31
1,44,46,44,37
2,48,50,47,40
3,51,52,50,42
4,53,54,52,44
5,55,56,54,45
6,57,57,56,47
7,59,58,57,48
8,61,59,58,50
9,62,60,60,51
10,64,61,61,52
11,65,63,62,52
12,66,63,63,53
13,67,64,64,54
14,68,66,64,55
15,69,67,65,55
16,72,68,67,56
17,73,69,68,57
18,75,70,70,57
19,77,72,71,58
20,78,74,72,58
21,80,75,73,59
22,81,76,76,59
23,81,80,82,60
24,81,81,83,60
25,,,,61
26,,,,61
27,,,,62
28,,,,62
29,,,,63
30,,,,63
31,,,,64
32,,,,64
33,,,,64
34,,,,65
35,,,,65
36,,,,65
37,,,,65
38,,,,65
39,,,,66
40,,,,66
41,,,,66
42,,,,67
43,,,,67
44,,,,68
45,,,,69
46,,,,70
47,,,,71
48,,,,72
49,,,,73
50,,,,73
51,,,,73
52,,,,73
53,,,,74
54,,,,75
55,,,,76
56,,,,76
57,,,,76
58,,,,77
59,,,,78
60,,,,78
61,,,,80
62,,,,80
63,,,,80
64,,,,82
65,,,,83
66,,,,83
67,,,,83
68,,,,83
69,,,,83
70,,,,83
71,,,,83
72,,,,83
