directa,SOM,DEP,ANS,IGS
0,40,41,38,35
1,47,48,45,40
2,51,51,50,43
3,54,54,53,45
4,57,57,55,47
5,59,58,57,49
6,62,60,59,50
7,62,62,61,51
8,63,63,63,52
9,64,64,64,53
10,66,65,65,55
11,68,67,66,56
12,69,69,67,56
13,71,69,68,57
14,73,69,69,58
15,74,71,70,59
16,75,73,71,60
17,75,74,74,60
18,77,74,75,61
19,80,75,75,62
20,81,76,76,62
21,81,77,80,63
22,81,78,80,63
23,81,78,80,64
24,81,80,80,64
25,,,,64
26,,,,65
27,,,,65
28,,,,66
29,,,,66
30,,,,67
31,,,,67
32,,,,68
33,,,,69
34,,,,69
35,,,,69
36,,,,69
37,,,,69
38,,,,69
39,,,,70
40,,,,70
41,,,,71
42,,,,72
43,,,,73
44,,,,73
45,,,,74
46,,,,74
47,,,,75
48,,,,76
49,,,,76
50,,,,76
51,,,,77
52,,,,78
53,,,,78
54,,,,78
55,,,,78
56,,,,78
57,,,,78
58,,,,78
59,,,,80
60,,,,81
61,,,,81
62,,,,81
63,,,,81
64,,,,81
65,,,,81
66,,,,81
67,,,,81
68,,,,81
69,,,,81
70,,,,81
71,,,,81
72,,,,81
