directa,SOM,DEP,ANS,IGS
0,39,41,39,34
1,46,48,46,39
2,50,52,50,42
3,53,54,52,44
4,55,56,55,46
5,57,58,56,48
6,59,60,58,49
7,61,61,59,51
8,63,62,61,52
9,65,63,62,53
10,66,64,63,54
11,67,65,65,55
12,68,65,66,56
13,69,67,66,57
14,70,68,67,58
15,72,69,68,58
16,73,70,69,59
17,75,71,70,59
18,77,72,72,59
19,78,74,73,60
20,80,76,74,61
21,82,78,76,62
22,83,80,80,62
23,83,81,81,63
24,83,81,81,63
25,,,,64
26,,,,64
27,,,,65
28,,,,65
29,,,,65
30,,,,66
31,,,,66
32,,,,66
33,,,,67
34,,,,67
35,,,,67
36,,,,67
37,,,,67
38,,,,67
39,,,,67
40,,,,68
41,,,,68
42,,,,68
43,,,,69
44,,,,70
45,,,,71
46,,,,72
47,,,,72
48,,,,73
49,,,,74
50,,,,74
51,,,,74
52,,,,74
53,,,,75
54,,,,76
55,,,,77
56,,,,78
57,,,,78
58,,,,78
59,,,,78
60,,,,78
61,,,,80
62,,,,80
63,,,,80
64,,,,82
65,,,,83
66,,,,83
67,,,,83
68,,,,83
69,,,,83
70,,,,83
71,,,,83
72,,,,83
