directa,SOM,DEP,ANS,IGS
0,41,41,39,36
1,49,49,47,42
2,53,52,51,45
3,56,55,54,47
4,58,58,57,49
5,60,59,59,50
6,63,61,61,51
7,64,62,63,53
8,65,64,64,54
9,66,65,65,55
10,68,66,67,56
11,70,68,68,57
12,71,70,69,58
13,73,70,70,59
14,74,71,70,60
15,75,72,71,60
16,76,73,73,61
17,77,73,74,62
18,79,74,77,63
19,82,76,77,63
20,82,77,78,64
21,82,78,82,64
22,82,80,82,65
23,82,80,82,65
24,82,82,82,66
25,,,,66
26,,,,67
27,,,,67
28,,,,68
29,,,,68
30,,,,69
31,,,,69
32,,,,70
33,,,,70
34,,,,71
35,,,,71
36,,,,71
37,,,,71
38,,,,71
39,,,,71
40,,,,71
41,,,,72
42,,,,73
43,,,,75
44,,,,76
45,,,,76
46,,,,76
47,,,,77
48,,,,78
49,,,,78
50,,,,78
51,,,,79
52,,,,80
53,,,,80
54,,,,80
55,,,,80
56,,,,80
57,,,,80
58,,,,80
59,,,,82
60,,,,82
61,,,,82
62,,,,82
63,,,,82
64,,,,82
65,,,,82
66,,,,82
67,,,,82
68,,,,82
69,,,,82
70,,,,82
71,,,,82
72,,,,82
