directa,SOM,DEP,ANS,IGS
0,39,42,41,35
1,47,50,49,41
2,51,53,52,44
3,55,56,55,46
4,58,58,57,48
5,60,60,60,50
6,62,62,61,51
7,64,65,63,53
8,66,66,65,55
9,69,67,66,56
10,70,68,68,57
11,72,69,70,58
12,73,70,72,59
13,74,71,74,60
14,76,71,74,61
15,78,73,76,61
16,78,74,78,62
17,80,75,78,63
18,81,76,78,63
19,81,78,80,64
20,81,80,81,65
21,81,81,81,67
22,81,81,81,67
23,81,81,81,68
24,81,81,81,68
25,,,,66
26,,,,67
27,,,,71
28,,,,71
29,,,,71
30,,,,72
31,,,,72
32,,,,72
33,,,,73
34,,,,74
35,,,,74
36,,,,74
37,,,,74
38,,,,74
39,,,,74
40,,,,75
41,,,,75
42,,,,76
43,,,,78
44,,,,78
45,,,,78
46,,,,78
47,,,,78
48,,,,78
49,,,,78
50,,,,78
51,,,,78
52,,,,78
53,,,,80
54,,,,81
55,,,,81
56,,,,81
57,,,,81
58,,,,81
59,,,,81
60,,,,81
61,,,,81
62,,,,81
63,,,,81
64,,,,81
65,,,,81
66,,,,81
67,,,,81
68,,,,81
69,,,,81
70,,,,81
71,,,,81
72,,,,81
