directa,SOM,DEP,ANS,IGS
0,43,42,40,37
1,52,50,48,44
2,55,53,53,47
3,58,56,56,49
4,60,59,59,50
5,63,61,61,52
6,65,62,64,53
7,66,64,66,55
8,67,65,67,56
9,69,66,68,57
10,71,68,70,58
11,73,70,71,59
12,74,71,72,60
13,77,72,72,61
14,78,73,72,61
15,78,73,73,62
16,80,74,74,63
17,81,74,77,64
18,81,76,78,65
19,81,78,78,65
20,81,78,78,66
21,81,80,78,66
22,81,81,78,67
23,81,81,78,68
24,81,81,78,68
25,,,,69
26,,,,70
27,,,,71
28,,,,72
29,,,,72
30,,,,72
31,,,,72
32,,,,72
33,,,,72
34,,,,72
35,,,,73
36,,,,73
37,,,,73
38,,,,74
39,,,,74
40,,,,74
41,,,,74
42,,,,75
43,,,,78
44,,,,79
45,,,,79
46,,,,79
47,,,,79
48,,,,79
49,,,,79
50,,,,79
51,,,,79
52,,,,79
53,,,,79
54,,,,79
55,,,,79
56,,,,79
57,,,,79
58,,,,79
59,,,,79
60,,,,79
61,,,,79
62,,,,79
63,,,,79
64,,,,79
65,,,,79
66,,,,79
67,,,,79
68,,,,79
69,,,,79
70,,,,79
71,,,,79
72,,,,79
