percentile,rango18_22,rango23_27,rango28_32,rango33_37,rango38_42,rango43_47,rango48_52,rango53_57,rango58_62,rango63_67,rango68_72,rango73_77,rango78_
95,,,12,12,12,11.7,11.4,11.1,,10.6,10.3,10,9.7
90,12,12,,,11.2,,,10.3,10,,9.5,9.2,
85,,,11.2,11,,10.4,10.1,,,9.2,,,8.4
80,11.4,11.1,,10.5,10.2,,9.7,9.4,9.1,,8.5,8.2,
70,,10.4,10.1,,9.5,9.2,,,8.4,8.1,,7.5,7.2
60,10.1,,9.5,9.2,,,8.4,8.1,,7.5,7.2,,
50,,9.2,,,8.4,8.1,,,7.2,,,6.4,6.1
40,9,,8.4,8.1,,7.5,7.2,7,,6.4,6.1,,5.5
30,8.4,8.1,,7.5,7.2,,6.7,6.4,6.1,,5.5,5.2,
20,,7.4,7.1,,,6.2,,,5.4,5.1,,,4.2
15,7.2,,,6.4,6.1,5.8,5.5,5.2,,,4.4,4.1,
10,6.7,6.4,6.1,,5.6,5.3,5,4.7,4.4,4.1,,3.5,3.3
5,5.9,5.6,5.3,5,4.8,4.5,4.2,3.9,3.6,3.3,3,2.8,2.5
