percentile,rango18_22,rango23_27,rango28_32,rango33_37,rango38_42,rango43_47,rango48_52,rango53_57,rango58_62,rango63_67,rango68_72,rango73_77,rango78_
95,33.1,32.5,32,31.4,30.8,30.3,29.7,29.2,28.6,28,27.5,26.9,26.4
90,31.5,30.9,30.4,29.8,29.3,28.7,28.1,27.6,27,26.5,25.9,25.3,24.8
85,30.4,,29.3,28.8,28.2,27.6,27.1,26.5,26,25.4,,24.3,23.7
80,29.6,29,28.4,27.9,27.3,26.8,26.2,25.6,25.1,24.5,24,23.4,22.8
70,28.1,27.6,27,26.5,25.9,25.3,24.8,24.2,23.7,23.1,22.5,22,21.4
60,26.9,26.4,25.8,25.3,24.7,24.1,23.6,23,22.5,21.9,21.3,20.8,20.2
50,25.8,25.3,24.7,24.2,23.6,23,22.5,21.9,21.4,20.8,20.2,19.7,19.1
40,24.7,24.2,23.6,23.1,22.5,21.9,21.4,20.8,20.3,19.7,19.1,18.6,18
30,23.5,23,22.4,21.9,21.3,20.7,20.2,19.6,19.1,18.5,17.9,17.4,16.8
20,22.1,21.6,21,20.5,,19.3,18.8,18.2,17.7,17.1,16.5,16,15.4
15,21.2,20.7,20.1,19.6,19,18.4,17.9,17.3,16.8,16.2,15.6,15.1,14.5
10,20.2,19.6,19.1,18.5,17.9,17.4,16.8,16.3,15.7,15.1,14.6,14,13.5
5,18.6,18,17.5,16.9,16.4,15.8,15.2,14.7,14.1,13.6,13,12.4,11.9
