Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,20,0,17,0,7,,,,
3,1,1,20,20,17,17,7,7,,,,
4,2,2,21,21,18,18,8,8,,,,
5,3,5,22,41,19,21,9,9,,,,
6,6,10,42,50,22,32,10,10,,,,
7,11,18,51,54,33,35,11,14,,,,
8,19,28,55,65,36,40,15,16,,,,
9,29,40,66,75,41,46,17,18,,,,
10,41,59,76,83,47,49,19,22,,,,
11,60,71,84,88,50,54,23,25,,,,
12,72,81,89,95,55,58,26,27,,,,
13,82,89,96,99,59,60,28,34,,,,
14,90,94,100,104,61,66,35,36,,,,
15,95,97,105,114,67,68,37,37,,,,
16,98,98,115,119,69,71,38,40,,,,
17,99,99,119,119,71,71,40,40,,,,
18,99.01,100,120,1000,72,1000,41,1000,,,,
Sample size,0,0,41,41,41,41,41,41,,,,
