Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,104,1000,270,1000,793,1000,876
3,1,1,0,0,103,93,269,260,792,742,875,838
4,2,2,0,0,92,77,259,226,741,740,837,832
5,3,5,0,0,76,69,225,184,739,623,831,736
6,6,10,0,0,68,61,183,110,622,519,735,591
7,11,18,1,1,60,51,109,94,518,452,590,541
8,19,28,2,2,50,45,93,80,451,372,540,459
9,29,40,2,2,44,38,79,66,371,335,458,407
10,41,59,3,4,37,29,65,49,334,268,406,329
11,60,71,4,4,28,23,48,43,267,216,328,277
12,72,81,5,5,22,18,42,37,215,181,276,242
13,82,89,6,6,17,14,36,30,180,171,241,205
14,90,94,6,6,13,10,29,24,170,153,204,191
15,95,97,7,7,9,7,23,22,152,135,190,184
16,98,98,7,7,7,7,21,18,134,130,183,172
17,99,99,7,7,6,6,18,18,129,127,171,154
18,99.01,100,8,10,5,0,17,0,126,0,153,0
Sample size,0,0,125,125,125,125,125,125,125,125,125,125
