RangoPercentil,SOM,OBS,INT,DEP,ANS,HOS,FOB,PAR,PSI,GSI,PST,PSDI,T
99,2.72,2.42,2.07,2.72,2.43,2.54,2.17,2.4,1.42,1.95,68.6,3.03,75
97,2.19,2.1,1.67,2.25,2.06,2,1.43,2,1.2,1.63,59.8,2.8,70
95,1.92,1.91,1.45,2,1.7,1.83,1.29,1.35,0.9,1.47,55,2.69,67
90,1.5,1.4,1.11,1.69,1.3,1.33,0.87,1.17,0.7,1.12,47.1,2.5,63
85,1.42,1.2,1,1.4,1.1,1,0.71,1,0.5,0.91,43,2.33,60
80,1.17,1,0.78,1.23,0.9,0.83,0.57,0.83,0.4,0.77,39,2.23,58
75,1.08,0.9,---,1.15,0.8,---,---,---,---,0.71,36,2.11,57
70,0.92,0.8,0.67,1.08,0.7,0.67,0.43,0.67,0.3,0.68,34,2,55
65,0.83,0.7,0.56,1,---,---,---,---,---,0.64,33,1.93,54
60,0.75,---,---,0.92,0.6,0.5,0.29,0.5,0.2,0.59,31,1.89,53
55,0.67,0.6,0.44,---,0.5,---,---,---,---,0.54,29,1.83,51
50,0.58,0.5,---,0.77,---,---,---,0.33,---,0.5,27,1.78,50
45,0.5,0.46,0.33,0.69,0.4,0.33,0.14,---,0.1,0.46,25.5,1.68,49
40,0.42,0.4,---,0.62,---,---,---,---,0.06,0.42,22.6,1.61,47
35,0.33,---,0.22,0.54,---,0.17,---,---,---,0.38,20,1.54,46
30,---,0.3,---,0.44,0.3,---,---,0.17,---,0.33,18,1.48,45
25,0.25,---,---,0.38,0.2,---,---,---,---,0.29,16,1.42,43
20,0.17,0.2,0.11,0.31,---,---,---,---,---,0.24,14,1.35,42
15,0.08,0.1,---,0.23,0.1,---,---,---,---,0.2,12,1.27,40
10,---,---,---,0.15,---,---,---,---,---,0.14,8,1.18,37
5,0,0,0,0.08,0,0,0,0,0,0.08,5,1.1,34
