TRmin,TRmax,TAmin,TAmax,Omin,Omax,Cmin,Cmax,TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
613,658,266,299,0,0,,,595,658,265,299,0,6,19,99
596,612,256,265,,,,,593,594,255,264,7,7,16,98
591,595,255,255,,,,,577,592,254,254,,,16,97
589,590,250,254,1,1,,,575,576,250,253,,,15,96
577,588,238,249,,,,,561,574,238,249,8,8,15,95
567,576,229,237,2,2,,,538,560,228,237,9,9,14,90
539,566,215,228,3,4,,,525,537,215,227,,,13,85
529,538,208,214,5,5,,,506,524,206,214,10,10,13,80
520,528,205,207,6,7,0,0,498,505,203,205,11,11,12,75
509,519,200,204,,,,,494,497,198,202,12,12,12,70
501,508,193,199,8,8,,,480,493,191,197,,,11,65
490,500,189,192,9,9,,,471,479,187,190,13,13,11,60
474,489,185,188,10,11,,,458,470,184,186,,,10,55
459,473,179,184,12,12,,,448,457,176,183,14,14,10,50
449,458,175,178,13,14,,,433,447,174,175,15,15,10,45
435,448,168,174,15,17,1,1,414,432,167,173,,,9,40
424,434,160,167,18,19,,,404,413,159,166,16,16,9,35
411,423,155,159,20,21,,,390,403,153,158,17,18,8,30
396,410,148,154,22,25,2,2,377,389,145,152,,,8,25
380,395,141,147,26,30,,,359,376,140,144,19,19,7,20
357,379,137,140,31,34,3,3,335,358,133,139,20,21,7,15
337,356,121,136,35,43,4,4,309,334,115,132,22,23,6,10
308,336,106,120,44,50,5,5,284,308,105,114,24,25,5,5
306,307,104,105,51,55,6,6,282,283,104,104,26,27,5,4
288,305,95,103,56,59,7,14,265,281,88,103,28,32,4,3
278,287,92,94,60,64,15,19,264,264,80,87,33,33,4,2
0,277,0,91,65,100,20,100,0,263,0,79,34,37,3,1
