puntuacion_estandar,puntuacion_percentil,puntuacion_escalar,puntuacion_t
150,>99.9,17,
149,>99.9,17,
148,99.9,17,
147,99.9,17,
146,99.9,17,
145,99.9,17,80
144,99.8,17,
143,99.8,17,
142,99.7,17,78
141,99.7,17,
140,99.6,17,77
139,99.5,17,
138,99,17,
137,99,17,75
136,99,17,
135,99,17,73
134,99,17,
133,99,17,72
132,98,16,
131,98,16,
130,98,16,70
129,97,16,
128,97,16,68
127,96,15,
126,96,15,
125,95,15,67
124,95,15,
123,94,15,50
122,93,14,
121,92,14,
120,91,14,63
119,90,14,
118,88,14,62
117,87,13,
116,86,13,
115,85,13,
115,84,13,60
114,83,13,
114,82,13,
113,81,13,
113,80,13,58
112,79,12,
111,78,12,
111,77,12,
110,76,12,
110,75,12,57
109,74,12,
109,73,12,
108,72,12,
108,71,12,
108,70,12,
108,69,12,55
107,68,11,
106,67,11,
106,66,11,
105,65,11,
105,64,11,
105,63,11,53
104,62,11,
104,61,11,
103,60,11,
103,59,11,
103,58,11,
102,57,10,
102,56,10,
102,55,10,52
101,54,10,
101,53,10,
100,52,10,
100,51,10,
100,50,10,50
100,49,10,
100,48,10,
99,47,10,
98,46,10,
98,45,10,
98,44,10,48
97,43,9,
97,42,9,
97,41,9,
96,40,9,
96,39,9,
96,38,9,
95,37,9,47
95,36,9,
95,35,9,
94,34,9,
94,33,9,
93,32,9,45
92,31,8,
92,30,8,
92,29,8,
92,28,8,
91,27,8,
91,26,8,
90,25,8,43
90,24,8,
89,23,8,
89,22,8,
88,21,8,42
88,20,7,
87,19,7,
86,18,7,
86,17,7,
85,16,7,40
85,15,7,
84,14,7,
83,13,7,38
82,12,6,
82,11,6,
81,10,6,
80,9,6,37
79,8,6,
78,7,6,35
77,6,5,
76,5,5,
75,5,5,33
74,4,5,
73,4,5,32
72,3,4,
71,3,4,
70,2,4,30
69,2,4,
68,2,4,28
67,1,3,
66,1,3,
65,1,3,27
64,1,3,
63,1,3,25
62,1,2,
61,0.5,2,
60,0.4,2,23
59,0.3,2,
58,0.2,2,22
57,0.1,1,
56,0.1,1,
55,0.1,1,20
54,0.1,1,
53,0.1,1,
52,0.1,1,
51,<0.1,1,
50,<0.1,1,
