TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
531,658,219,299,44,47,19,99
518,530,216,218,41,43,16,98
516,517,215,215,38,40,16,97
506,515,204,214,35,37,15,96
489,505,198,203,34,34,15,95
471,488,187,197,30,33,14,90
455,470,179,186,26,29,13,85
436,454,171,178,24,25,13,80
422,435,167,170,22,23,12,75
416,421,164,166,21,21,12,70
408,415,160,163,19,20,11,65
400,407,158,159,,,11,60
389,399,155,157,18,18,10,55
383,388,151,154,17,17,10,50
378,382,149,150,16,16,10,45
372,377,144,148,15,15,9,40
366,371,141,143,14,14,9,35
354,365,135,140,,,8,30
341,353,127,134,13,13,8,25
319,340,118,126,12,12,7,20
306,318,112,117,11,11,7,15
291,305,103,111,10,10,6,10
273,290,87,102,8,9,5,5
266,272,85,86,,,5,4
242,265,81,84,7,7,4,3
225,241,51,80,,,4,2
0,224,0,50,0,6,3,1
